District,pct_ICU,daily_tests_per_million_14ma,TPR,rate_increase_new_cases,daily_cases_per_million,category,dates,is_change
Nanded,100,656.9114920374557,14.622494223443452,44.84304932735426,7403.700719842251,RED,2020-09-11,False
Nanded,100,665.5469675307353,14.207785003236047,40.23861171366595,6570.092690548753,RED,2020-09-12,False
Nanded,100,673.3209466565141,13.684274660330226,33.21460373998219,6706.647324897688,RED,2020-09-13,False
Nanded,100,681.9974457863414,13.122199163884629,27.458170983268396,5077.214356860398,RED,2020-09-14,False
Nanded,100,694.1199303861708,12.780732860520095,24.832369942196532,6093.490241252471,RED,2020-09-15,False
Nanded,100,705.9347377118927,12.592980009298001,21.619750807568064,6951.196147195781,RED,2020-09-16,False
Nanded,100,708.6217859057637,12.490230700205517,19.745075318655854,7324.266978292871,RED,2020-09-17,False
Nanded,100,706.5706040783813,12.320376230150666,15.386427898209243,6442.760700349747,RED,2020-09-18,False
Nanded,100,707.965407721001,12.417789366941909,11.59589360709286,6104.497913302385,RED,2020-09-19,False
Nanded,100,705.5860368012377,12.558504607692084,6.828703703703699,6136.628415502134,RED,2020-09-20,False
Nanded,100,696.0480413039099,12.400542229032828,1.7823193916349729,4682.128181663479,RED,2020-09-21,False
Nanded,100,710.3652904590385,11.5990990990991,-10.804082648742842,5471.110513457325,RED,2020-09-22,False
Nanded,100,705.5860368012377,11.410215413238756,-15.261146496815304,6256.225284801201,RED,2020-09-23,False
Nanded,100,705.0937531626658,10.935272727272727,-23.25086459164672,5701.379112555529,RED,2020-09-24,False
Nanded,100,700.7042240520677,10.667135037030532,-28.512623490669597,5293.7977420587085,RED,2020-09-25,False
Nanded,100,702.7759176977239,10.994687992528165,-22.378550570745958,6074.747448302617,RED,2020-09-26,False
Nanded,100,760.844875230917,10.675868762300164,-13.434343434343436,5371.743960358101,RED,2020-09-27,False
Nanded,100,754.6297942939484,10.899701005708073,-8.802992518703245,3546.552932622337,RED,2020-09-28,False
Nanded,100,747.4916815346581,10.696449152077273,-10.95433555669574,4455.429638365247,RED,2020-09-29,False
Nanded,100,741.6663251448924,10.409867802422701,-15.143464399574926,5449.392674007495,RED,2020-09-30,False
Nanded,100,736.8255360322701,10.54785368297979,-13.882290841910788,4901.686613361767,RED,2020-10-01,False
Nanded,100,734.6717951135187,10.039925175196135,-18.020022246941064,4638.39499811382,RED,2020-10-02,False
Nanded,100,724.3953741583333,9.542417034771775,-27.18100890207716,4268.596718166705,RED,2020-10-03,False
Nanded,100,718.4879704954724,8.94141829393628,-37.931034482758605,3733.088348170882,RED,2020-10-04,False
Nanded,100,729.318210544051,8.856451794352571,-33.62972372181645,3047.6376345762283,RED,2020-10-05,False
Nanded,100,709.8730068204667,8.77542764678687,-32.268686203490304,3646.811999671555,RED,2020-10-06,False
Nanded,100,705.9962731667142,8.640576425811325,-31.977135171486207,4337.022787666171,RED,2020-10-07,False
Nanded,100,703.924579521058,8.432892359694621,-29.889426399447125,3985.0747867189166,RED,2020-10-08,False
Nanded,100,699.7196567749245,8.24319174508252,-29.587482219061158,3609.9214230718426,RED,2020-10-09,False
Nanded,100,691.6995358298595,7.781270387284265,-43.5594512195122,3396.313084373509,RED,2020-10-10,False
Nanded,100,625.0976618947562,7.839212469237079,-65.75973210548345,3210.6701827749566,RED,2020-10-11,False
Nanded,100,623.7028582521364,7.498273423882659,-75.87719298245615,2109.0104638335497,RED,2020-10-12,False
Nanded,100,617.0160054948701,7.260396928293607,-78.47985347985349,2535.3346272802246,RED,2020-10-13,False
Nanded,100,610.7188772848064,6.895277759118694,-83.34145153433998,3139.2690667755137,RED,2020-10-14,False
Nanded,100,602.63722088492,6.269571136827774,-105.70032573289903,3042.2825508762703,RED,2020-10-15,False
Nanded,100,597.0169826778925,6.163677592249021,-100.44593088071348,3405.535728523437,RED,2020-10-16,False
Nanded,100,599.5194245072989,5.901874914465581,-95.36231884057973,3052.1002043261938,RED,2020-10-17,False
Nanded,100,596.2990690383087,5.906229575865983,-82.41118229470007,2695.392128978976,RED,2020-10-18,False
Nanded,100,589.1199326424706,5.529055395007138,-98.29974811083122,1780.267825586114,RED,2020-10-19,False
Nanded,100,585.6124117176469,5.134851138353765,-107.16234652114598,2424.960402131085,RED,2020-10-20,False
Nanded,100,581.8177253369897,4.9074563722897935,-113.6494252873563,2422.282860281106,RED,2020-10-21,False
Nanded,100,578.9255589603806,4.7689909297052155,-115.00742942050522,2242.8875563325055,RED,2020-10-22,False
Nanded,100,575.1308725797234,4.668497449980385,-114.82047364400306,2185.766663532951,RED,2020-10-23,False
Nanded,100,567.4799643635873,4.424202992843201,-114.37908496732024,1909.0873390351092,RED,2020-10-24,False
Nanded,100,559.7880325109038,4.250485508042945,-105.94827586206895,1802.5806743359399,RED,2020-10-25,False
Nanded,100,549.3064933729802,4.1075429424943986,-107.27272727272728,1084.4044492415417,RED,2020-10-26,False
Nanded,100,543.9323969852386,4.038766121125273,-103.92156862745098,1595.5174379375549,RED,2020-10-27,False
Nanded,100,539.5838915111881,4.071314529004789,-91.69000933706815,2004.5863316843643,RED,2020-10-28,False
Nanded,100,534.9071969447565,3.903673594600813,-80.94302554027507,1755.8724442863042,RED,2020-10-29,False
Nanded,100,531.7894005671354,3.8108462547249866,-81.57894736842105,1841.553783485636,RED,2020-10-30,False
Nanded,100,520.8771132454615,3.67803418130267,-84.68950749464669,1650.5557981871257,RED,2020-10-31,False
Nanded,100,513.4108113937899,3.4758290051937677,-97.35632183908044,1597.3024658375411,RED,2020-11-01,False
Nanded,100,509.92380228724005,3.5116653258246178,-81.90148911798397,1192.696141840697,RED,2020-11-02,False
Nanded,100,504.0779340792005,3.499491353001017,-70.46511627906975,1460.4503268386086,RED,2020-11-03,False
Nanded,100,497.7397822325891,3.354487760652765,-71.007371007371,1637.7630982372254,RED,2020-11-04,False
Nanded,100,491.5657249321684,3.0961819319841437,-81.40161725067385,1560.7093938878265,RED,2020-11-05,False
Nanded,100,486.74544763782,3.0004214075010536,-83.84831460674158,2043.8569454840579,RED,2020-11-06,False
Nanded,100,481.59698125109054,2.7471357383193493,-89.76744186046513,1177.820909340813,RED,2020-11-07,False
Nanded,100,482.2533594358528,2.5009569988516014,-97.27891156462586,1661.5634702370398,RED,2020-11-08,False
Nanded,100,485.82241581549795,2.4319189360354656,-90.9722222222222,974.9227380423956,RED,2020-11-09,False
Nanded,100,484.899383993176,2.3392554991539765,-93.67088607594937,1127.8401281412027,RED,2020-11-10,False
Nanded,100,482.17131216275754,2.1440422001956865,-112.5,1459.8553175386132,RED,2020-11-11,False
Nanded,100,479.6688703333511,2.09108402822322,-108.17995910020446,1337.580906389567,RED,2020-11-12,False
Nanded,100,473.2896948501921,1.9849180896246859,-115.72052401746723,1229.2892137904116,RED,2020-11-13,False
